ds,yhat,yhat_lower,yhat_upper,trend
2017-04-16,1784.976916651829,-973.6489335038883,4319.01621638666,1831.9577116634011
2017-04-17,1948.5585299935253,-710.2732467345163,4645.345169031316,1832.9606772107231
2017-04-18,1319.8828776491628,-1252.461467863948,3937.376784943787,1833.9636427580456
2017-04-19,361.47551239338145,-2272.4700548746696,2831.6492775850184,1834.966608305368
2017-04-20,1500.6546527704877,-970.1455199972647,4114.339644135284,1835.9695738526902
2017-04-21,1989.666533251168,-404.5470699410771,4419.293616122946,1836.9725394000127
2017-04-22,1658.6488765217243,-989.4242745488558,4168.561548765445,1837.9755049473351
2017-04-23,1797.3864299667653,-758.611021751832,4402.984333142461,1838.9784704946574
2017-04-24,1955.0293090919806,-763.3573484411897,4599.085641312503,1839.9814360419798
2017-04-25,1318.678946517874,-1305.029060981458,4040.6725306102767,1840.984401589302
2017-04-26,351.42419132521604,-2068.940335897791,3082.7726647584605,1841.9873671366245
2017-04-27,1481.1629709598285,-1123.294569242304,3924.0504033091534,1842.990332683947
2017-04-28,1960.7190195418407,-589.1195750292787,4550.055164417759,1843.993298231269
2017-04-29,1620.7873335900276,-881.3526237414148,4252.7710263866675,1844.9962637785916
2017-04-30,1751.6727956572875,-606.7895900416138,4299.652450695485,1845.999229325914
2017-05-01,1902.9931650262515,-625.022923610571,4297.820703682096,1847.002194873236
2017-05-02,1262.2516363771506,-1194.4598260367054,3874.2800895176388,1848.0051604205587
2017-05-03,292.86184921762583,-2327.792838787582,2954.9136361878263,1849.0081259678811
2017-05-04,1422.9610256343562,-1259.6329886086596,4015.487458332407,1850.0110915152031
2017-05-05,1905.5209269579389,-604.3310800042107,4555.199100270844,1851.0140570625256
2017-05-06,1571.290394508081,-1095.4507784730895,4025.033354819949,1852.0170226098483
2017-05-07,1710.5339354414673,-959.8751406625552,4400.242728919602,1853.0199881571702
2017-05-08,1872.7374904079113,-730.0936932937052,4246.386581030259,1854.0229537044927
